STAR version=2.7.10b
STAR compilation time,server,dir=2023-12-20T15:44:32-05:00 ai-hpcgpu21.niaid.nih.gov:/data/home/svc_hpcinstaller/tmp/spack-stage/spack-stage-star-2.7.10b-djwbspg7savasevzsvc6diekfeeg2rwl/spack-src/source
STAR git: 
##### Command Line:
STAR --runThreadN 16 --runMode genomeGenerate --genomeDir /data/vrc_his/douek_lab/reference_sets/hg38/Sequence/STAR/ --genomeFastaFiles /data/vrc_his/douek_lab/reference_sets/hg38/Sequence/WholeGenomeFasta/genome.fa --sjdbGTFfile /data/vrc_his/douek_lab/reference_sets/hg38/Sequence/STAR/ --sjdbOverhang 299
##### Initial USER parameters from Command Line:
###### All USER parameters from Command Line:
runThreadN                    16     ~RE-DEFINED
runMode                       genomeGenerate        ~RE-DEFINED
genomeDir                     /data/vrc_his/douek_lab/reference_sets/hg38/Sequence/STAR/     ~RE-DEFINED
genomeFastaFiles              /data/vrc_his/douek_lab/reference_sets/hg38/Sequence/WholeGenomeFasta/genome.fa        ~RE-DEFINED
sjdbGTFfile                   /data/vrc_his/douek_lab/reference_sets/hg38/Sequence/STAR/     ~RE-DEFINED
sjdbOverhang                  299     ~RE-DEFINED
##### Finished reading parameters from all sources

##### Final user re-defined parameters-----------------:
runMode                           genomeGenerate   
runThreadN                        16
genomeDir                         /data/vrc_his/douek_lab/reference_sets/hg38/Sequence/STAR/
genomeFastaFiles                  /data/vrc_his/douek_lab/reference_sets/hg38/Sequence/WholeGenomeFasta/genome.fa   
sjdbGTFfile                       /data/vrc_his/douek_lab/reference_sets/hg38/Sequence/STAR/
sjdbOverhang                      299

-------------------------------
##### Final effective command line:
STAR   --runMode genomeGenerate      --runThreadN 16   --genomeDir /data/vrc_his/douek_lab/reference_sets/hg38/Sequence/STAR/   --genomeFastaFiles /data/vrc_his/douek_lab/reference_sets/hg38/Sequence/WholeGenomeFasta/genome.fa      --sjdbGTFfile /data/vrc_his/douek_lab/reference_sets/hg38/Sequence/STAR/   --sjdbOverhang 299
----------------------------------------

Number of fastq files for each mate = 1
ParametersSolo: --soloCellFilterType CellRanger2.2 filtering parameters:  3000 0.99 10
Finished loading and checking parameters
--genomeDir directory exists and will be overwritten: /data/vrc_his/douek_lab/reference_sets/hg38/Sequence/STAR/
!!!!! WARNING: Could not move Log.out file from ./Log.out into /data/vrc_his/douek_lab/reference_sets/hg38/Sequence/STAR/Log.out. Will keep ./Log.out

Sep 05 16:00:27 ... starting to generate Genome files
